masked,original
낳음 당한,낳음 당한 현실이 정말 싫다
철이 없는좀,철이 없는 소리좀 그만해
부모님이 돈다 기계,부모님이 돈 벌어다주는 기계야
,얘 표절임
##까지 했으면 인정해,1등까지 했으면 인정해줘야지
애 딸린남이랑하는 거 별론?,애 딸린 이혼남이랑 결혼하는 거 별론가요?
##으면 왜 사람들이 사람이랑 안 했겠어요 ㅋㅋㅋ,괜찮으면 왜 사람들이 그 사람이랑 결혼을 안 했겠어요 ㅋㅋㅋ
지 자식 키우기도 힘든 남의 자식 게 쉽?,지 자식 키우기도 힘든 세상에 남의 자식 키우는 게 쉽겠냐?
서로 잘 수도 있는 거 아닌가요? 다들 너무시네요,서로 잘 지낼 수도 있는 거 아닌가요? 다들 말이 너무 심하시네요
[UNK] 페미만 돈나 벌었을텐데,[UNK] 페미 아니라고만 했어도 돈 꽤나 벌었을텐데
이번에 노래도 냈는데 완전 좋!봐,이번에 노래도 냈는데 완전 좋더라! 그것도 들어봐
게으른 J여서 잘 안 세워,난 게으른 J여서 계획을 잘 안 세워
##른 거 아님?,그냥 네가 게으른 거 아님?
정치 좌파,나는 정치 성향이 좌파야
좌파를 싫어해서 일부러 비하용,좌파를 싫어해서 일부러 비하용어를 사용하는 거야
너도 [UNK],너도 [UNK]봤어?
[UNK] 이 [UNK] 보고에 금수저 오른 특권층.,[UNK]이 [UNK] 보고 20대에 금수저에 오른 특권층이래.
금수저 물고 태어났다는 부모가 부자 뜻인 몰라?,금수저 물고 태어났다는 말은 부모가 부자라는 뜻인 거 몰라?
ㅋㅋㅋㅋ 연애치들이,ㅋㅋㅋㅋㅋ 연애코치들이 왜저래
사장님에서 냄새가,사장님 음식에서 이상한 냄새가 나요
상한냄새나는데 잘세요,약간 상한냄새나는데 잘 맡아보세요
이건 상한게냄새,이건 상한게 아니라 음식냄새입니다
##나빠 갈취소에요,기분나빠 갈테니 음식취소에요
한복판에서 속옷 시위 하는 거어,이탈리아 한복판에서 속옷 시위 하는 거 봤어?
##된 여무원들이 그러는,구조조정된 여승무원들이 그러는 거래
우리나라 여자는 선수 얕은데다가 이제 김연경도 없으니 쉽지,우리나라 여자 배구는 선수층이 얕은데다가 이제 김연경도 없으니 쉽지 않지
그니까 아직도쳐주는 애들은 경기는 하는 건가,그니까 아직도 배구 올려쳐주는 애들은 경기 보기는 하는 건가
? 좋,왜? 나는 좋던데
그 여자 10를대,그 여자 10살 연하를 만난대
너느 말을 그렇게 하냐 망할 너의 말에 공감 없어,너느 말을 그렇게 하냐 망할수도 있지 너의 말에 공감 할수가 없어
아이들은 쓰레기통,아이들은 감정 쓰레기통이 아니예요
이 [UNK],이 [UNK]유튜버 뭐냐?
심장병 있다니까 거짓말로? 넌 안 아파 그렇지. 저만니까.,심장병 있다니까 거짓말로 들려? 넌 안 아파봐서 그렇지. 저만 안다니까.
병았다. 어제 농리공원에서 뛰어다닌 건 뭐니,병 다 나았다며. 어제 농리공원에서 뛰어다닌 건 뭐니
나는 살찐 여자는 좀인 같아,나는 살찐 여자는 좀 별로인 것 같아.
"[UNK] 아, 혹시개줄 수 있니?","[UNK]아, 혹시 지우개좀 빌려줄 수 있니?"
"야, [UNK] 야, [UNK] 또개달.","야, [UNK]야, [UNK] 또 지우개 빌려달란다."
55세 이상이면 사회를수매?,55세 이상이면 사회복지를 이용할수 있다매?
[UNK] 길시켜라,[UNK] 길 다시 복귀시켜라
전랑구만,10년 전 조선이랑 똑같구만
스우파 [UNK] 학교폭력대,스우파 [UNK] 학교폭력으로 폭로 당했대
쟤민이,쟤 탈북민이래
아침 출근길 개똥음,아침 출근길에 개똥 밟음 ㅜㅜ
견주 똥 담을 봉투하나 들고게 그리건가,견주들은 똥 담을 봉투하나 들고 다니는게 그리 힘든건가
와해 준 집안들도,와 그거 허락해 준 집안들도 신기하다
전남친다.,저기 너 전남친 지나간다.
##이 작잖아,밥그릇이 너무 작잖아.
아저씨다가 쓰레기를세요,아저씨 왜 여기다가 쓰레기를 버리세요
##다 버리던 말던 아줌마가?,여기다 버리던 말던 아줌마가 무슨상관이에요?
저 쓰레기다가 가져다 버리세요,저 앞에 쓰레기버리는데다가 가져다 버리세요
