masked,original
,벌써 배고파?
,그러게.
,말이 심하다?
값 싼 재료 다 부실이냐 미달이,값 싼 재료 쓴다고 다 부실이냐 규격 미달이 문제지
어... 애들 다 좋 특히 너무 들어,어 ... 애들 다 좋더라 특히 얘 너무 맘에 들어
? 좋겠다할 맛도,그래? 좋겠다 구경할 맛도 나고
##까,성형 해볼까?
우리도 별로 가까이 하고싶진않는데. 괜히 왕따시킨다 생각할 적당히주고있어,우리도 별로 가까이 하고싶진않는데..괜히 왕따시킨다 생각할까봐 적당히 받아주고있어
목소리가 쳐,근데 왜 목소리가 쳐졌어
,말 걸지마
그건 니 남편 탓,그건 니 남편 탓이 아닌데.
##녀인가?,그럼 불륜녀 탓인가?
애 키우느라 바빠 죽겠는데 거울 새가?,애 키우느라 바빠 죽겠는데 거울 볼 새가 어딨니?
##쌀 거같아.,하지만 너무 비쌀 거같아.
에휴 요즘 여자 게 어디있냐?,에휴 요즘에 남자 여자 그런 게 어디있냐?
##인 같아,그건 비약인 거 같아
##씩 주고도 쌓여서 휘청거린다는데 기본라니 말이 되냐?,25만원씩 주고도 나라빚 쌓여서 휘청거린다는데 기본 소득이라니 말이 되냐?
악플러 대부분이 여성이었습니다. 그것이 中,"""악플러 대부분이 여성이었습니다."" 그것이 알고싶다 中"
직접 찾아가서 여자인거 확인 도용 ㅋㅋ,직접 찾아가서 여자인거 확인한건데 도용이란다 ㅋㅋㅋㅋ
야 저빵에다가 휘핑까지 올려,야 저빵에다가 휘핑크림까지 올려먹네
어제맘이 사료 밥그릇 우리 앞에 둬서잖아,어제 캣맘이 사료 밥그릇 우리 집 앞에 둬서 치웠잖아
##하면 휴가 수 있는거 아니냐?,생리하면 휴가 쓸 수 있는거 아니냐?
걔 대지,걔 무슨 대 나왔지?
##서랑 캬 ~ 얼마나 맛있을까 다이어트 끝나면 바로 먹는다,오징어 구워서 맥주랑 캬~ 얼마나 맛있을까 다이어트 끝나면 바로 먹는다
##로리 아이스크림이거든? 살 안쪄 ㅠㅠ,그거 0칼로리 아이스크림이거든? 살 안쪄 ㅠㅠ
"##랑 놀거 같애, 넌?","나 그냥 친구들이랑 놀거 같애, 넌?"
"남친이랑 호로 했지롱, 남친이 예약했대","난 남친이랑 호캉스 가기로 했지롱, 남친이 예약했대"
이은 산업재해가 일어나,이 직업은 산업재해가 너무 많이 일어나
##성이 풍부한일 수도 있지 않을까,원래 감수성이 풍부한 사람일 수도 있지 않을까
요즘은 중딩이 초딩 돈도쳐,요즘은 중딩이 초딩 돈도 삥쳐요.
##지 누 봐야지,누가 이길지 누고 봐야지
우리나란 여자들이 당했다고 하면 무조건 수사냐?,우리나란 왜 여자들이 성추행 당했다고 하면 무조건 수사 들어가냐?
"하긴, 성추행 남자 진짜 억울","하긴, 이번에 성추행 사건 남자 진짜 억울하더라"
니 여행 개는 누가 봐,니 여행가면 개는 누가 봐?
아 개에기로 했어.,아 개 전용 호텔에 맡기기로 했어.
기초생활수급자도 못 사람이,기초생활수급자도 못 받는 사람이 있다며?
그러게 전 국민 다 돌아가 해야지. 필요없는 어차피 안 할텐데.,그러게 전 국민 다 돌아가도록 해야지. 필요없는 사람은 어차피 신청 안 할텐데.
"너가 게, 개신교 이런 맞는건데 그게 아니면 틀리다","너가 말하는 게 가톨릭, 개신교 이런 거면 맞는건데 그게 아니면 틀리다"
##하기는 하는?,알고 말하기는 하는 거지?
좀로 봐라 왜감을 못서 안달이냐,좀 재미로 봐라 왜 소속감을 못 가져서 안달이냐
범죄자를 혐오는 용납되.,범죄자를 향한 혐오는 사회적으로 용납되잖아.
심지어 어떤 경우에는 범죄자를 소신발언이 영웅화도 하잖아,심지어 어떤 경우에는 범죄자를 향한 소신발언이 영웅화되기도 하잖아.
범죄자들이 인간 못한 했으니까 욕하는 거지.,그건 범죄자들이 인간답지 못한 행동을 했으니까 욕하는 거지.
넌 어떻게 동성애자랑 범죄자를 하니,넌 어떻게 동성애자랑 범죄자를 비교할 생각을 하니?
최강 명성 거품ㅎㅎ,최강팀 명성 다 거품이었나ㅎㅎ
너이,너 발음이 왜그래?
야 아줌마 [UNK] 빼 진상 짓 감,야 어떤 아줌마 봉툿값 빼달라고 진상 짓 하고 감
##바구니를 오 하지,장바구니를 들고 오던가 하지
걔 자하고 검정 친,걔 자퇴하고 검정고시 친대
,의외로 엄청 많아
강아지 5야,우리 강아지 5살이야
동양인이 미국가서기,동양인이 미국가서 버티기 쉽지 않다
거봐. 맞아야 한다니까,거봐. 백신 맞아야 한다니까.
맞고도는 게.,백신 맞고도 죽었다는 게 팩트다.
많이 남자가 없을텐데,나보다 많이 버는 남자가 별로 없을텐데
##를 치던..를 사먹던.. 본인들 쓰기 나름이지.. 상관??,골프를 치던..소고기를 사먹던..본인들 쓰기 나름이지..뭔 상관??
동성애자들이 안 돼,나는 동성애자들이 이해가 안 돼.
공부를 제대로 못 한 것 같아.고사 망했어ㅜㅜ,나 이번에 공부를 제대로 못 한 것 같아. 중간고사 망했어ㅜㅜ
"맞는 말 이긴 한데, 좀 그렇다. 내이 거지 너 시험이 망하는게.","맞는 말 이긴 한데, 좀 그렇다. 내 시험이 망하는 거지 너 시험이 망하는게 아니잖아."
,무슨 말인지 모르겠는데
생각을 하고 사는 줄은,네가 그런 생각을 하고 사는 줄은 몰랐네
진짜 뭐냐리 갔다리 거림,날씨 진짜 뭐냐 왜이리 왔다리 갔다리 거림
그러니까 두껍게 입고 나가면 덥고 얇 입 추ㅋㅋ,그러니까 두껍게 입고 나가면 덥고 얇게 입으면 추움ㅋㅋ
쌉ㅋㅋ때는 얇게 입고 남친 옷입으면 됨,쌉 인정ㅋㅋ 그냥 그럴때는 얇게 입고 남친 옷입으면 됨
카메라 하나 들고 전 세계를 사진 찍고 용돈 충당하며 세계일주,카메라 하나 들고 전 세계를 다니면서 사진 찍고 그걸로 용돈 충당하며 세계일주한데
